time [ms],gyro_x [rad/s],gyro_y [rad/s],gyro_z [rad/s]
0,-0.0967881307005882,0.1180416569113731,-0.0471316948533058
10,-0.0908703207969665,0.1164024844765663,-0.0694226175546646
20,-0.0611481294035911,0.0891684591770172,-0.0585060864686965
30,-0.01167618855834,0.0370250977575778,-0.0398367941379547
40,0.0405204780399799,-0.0197036862373352,-0.0405906774103641
50,0.0821536779403686,-0.0537655130028724,-0.049245148897171
60,0.0874424502253532,-0.0557769984006881,-0.0599904730916023
70,0.0566318035125732,-0.0298122465610504,-0.0724577978253364
80,0.0149757023900747,0.0360165685415267,-0.0813189297914505
90,-0.0311965867877006,0.0953619182109832,-0.0640917420387268
100,-0.0677704140543937,0.1203946992754936,-0.0393719673156738
110,-0.0748565569519996,0.1172098293900489,-0.028665529564023
120,-0.0524150468409061,0.0919108092784881,-0.0441634617745876
130,-0.00435058074072,0.0492040924727916,-0.0597046054899692
140,0.0430621691048145,0.0118705611675977,-0.0612080171704292
150,0.0814436450600624,-0.0271532703191041,-0.0465899258852005
160,0.1052913516759872,-0.0657204985618591,-0.0517143383622169
170,0.1162537261843681,-0.0888250172138214,-0.0779645815491676
180,0.1082715690135955,-0.1157923191785812,-0.1122373193502426
190,0.0806210339069366,-0.0469176471233367,-0.0970527753233909
200,0.0312600508332252,0.0269901938736438,-0.0449818894267082
210,-0.0085297059267759,0.0668087154626846,-0.019624600186944
220,-0.0158671345561742,0.1028873026371002,-0.0366695597767829
230,-0.0032458808273077,0.0899890810251236,-0.0528357475996017
240,0.0188162475824356,0.0461376458406448,-0.0460658706724643
250,0.0251708142459392,-0.0003409064374864,-0.061983048915863
260,0.0377357341349124,-0.0316696688532829,-0.0680079311132431
270,0.0474964864552021,-0.043070126324892,-0.046792659908533
280,0.0519199036061763,-0.0357839241623878,-0.01867451146245
290,0.0468806698918342,-0.0404340699315071,-0.0121236676350235
300,0.0380534566938877,-0.0166493579745292,-0.0286433696746826
310,0.020256083458662,-0.0047285165637731,-0.0271924808621406
320,0.0045327609404921,-0.0216944552958011,-0.0336496122181415
330,0.0044954763725399,0.015402047894895,-0.0472525060176849
340,0.0014026558492332,0.0443056598305702,-0.0505993366241455
350,-0.0025840960443019,0.0576654113829135,-0.0327172763645648
360,-0.008784744888544,0.0624943301081657,-0.0169760473072528
370,0.0052317385561764,0.0289877727627754,-0.0124699790030717
380,0.0396904237568378,0.0087510561570525,-0.0108173564076423
390,0.061971228569746,-0.0156213957816362,-0.0049112648703157
400,0.072911225259304,-0.0631534904241561,-0.0133316479623317
410,0.0690405890345573,-0.0562591031193733,-0.0471769608557224
420,0.0512681156396865,-0.0075245327316224,-0.036914300173521
430,0.0147436615079641,0.0155328502878546,-0.0036266539245843
440,-0.0066905878484249,0.0353839322924613,0.0231294315308332
450,-0.0194029211997985,0.0385347194969654,0.025571284815669
460,-0.0211184248328208,0.0234308876097202,0.0135632418096065
470,-0.0223139189183712,0.040136631578207,0.00347944884561
480,-0.0200133472681045,0.0398179069161415,0.0160931460559368
490,0.0020152542274445,0.0318673029541969,0.0305200219154357
500,0.0545974858105182,0.0169870480895042,0.0128037771210074
510,0.099177211523056,0.015503667294979,-0.0283854696899652
520,0.1010720431804657,0.0191949121654033,-0.0321865305304527
530,0.0555940419435501,0.021544886752963,-0.0359865948557853
540,0.0127873923629522,0.0647747963666915,-0.0501763448119163
550,-0.0073463707230985,0.1289918720722198,-0.0565191954374313
560,-0.0168057642877101,0.1531360298395156,-0.0374436415731906
570,-0.0325205437839031,0.1507455855607986,-0.0146347340196371
580,-0.02704593911767,0.1298535168170929,0.0152500206604599
590,0.0077360109426081,0.0792292356491088,0.0390970297157764
600,0.0533355884253978,0.0209379084408283,0.0336054265499115
610,0.0958652049303054,-0.0489940382540226,0.0291110724210739
620,0.1138567924499511,-0.0815773457288742,0.0196693744510412
630,0.0945105254650116,-0.0774153545498848,0.0122953485697507
640,0.0379994437098503,-0.0643391832709312,0.0056626480072736
650,-0.0242021419107913,-0.0071153109893202,0.0162761434912681
660,-0.072264090180397,0.0554837509989738,0.0309576019644737
670,-0.0886744856834411,0.0805377066135406,0.0299045890569686
680,-0.0827988311648368,0.0763151347637176,0.0272335149347782
690,-0.0602274760603904,0.045465350151062,0.0344879627227783
700,-0.0281952135264873,-0.0011850497685372,0.0481813512742519
710,0.0052290549501776,-0.0445642173290252,0.0441365428268909
720,0.0309658739715814,-0.0557847209274768,0.0281772315502166
730,0.0381425619125366,-0.0542379580438137,0.0193563103675842
740,0.0196125116199255,-0.0496599897742271,0.0198934096843004
750,-0.0124998837709426,-0.0351401716470718,0.0196372140198946
760,-0.0539131835103035,-0.0160954948514699,0.0024425897281616
770,-0.0983946397900581,0.0241179708391428,-0.0111246183514595
780,-0.140718787908554,0.0621704198420047,-0.0018661236390471
790,-0.1511349380016327,0.0707239508628845,0.0217340104281902
800,-0.1116351410746574,0.0602307692170143,0.0313756950199604
810,-0.0301733091473579,0.0366663187742233,0.0117090512067079
820,0.0517247430980205,-0.0079316971823573,0.0004149344749748
830,0.0966634601354599,-0.0567967072129249,0.0075609940104186
840,0.1062821820378303,-0.0966187044978141,0.0087049677968025
850,0.0847832858562469,-0.11850456148386,0.0059299543499946
860,0.053916648030281,-0.1113937720656395,0.0188623704016208
870,0.0147615224123001,-0.0864194482564926,0.0405953601002693
880,-0.0291603356599807,-0.0490096434950828,0.0598067678511142
890,-0.0530472919344902,-0.0281959734857082,0.0462265089154243
900,-0.0471862852573394,0.0096772508695721,0.0270329173654317
910,-0.0318432822823524,0.0392348766326904,0.0447711683809757
920,-0.0304075945168733,0.0285428129136562,0.0754590108990669
930,-0.0313444957137107,-0.0102463942021131,0.0841739401221275
940,-0.0081245116889476,-0.0528362244367599,0.0609541907906532
950,0.0348051115870475,-0.0962100625038147,0.0313662029802799
960,0.0673858076333999,-0.1221047490835189,0.026530347764492
970,0.06996401399374,-0.1134420186281204,0.0123982839286327
980,0.0504224449396133,-0.0547501519322395,0.0056633790954947
990,0.0214251521974802,-0.0013348637148737,0.0044559016823768
1000,-0.0009612063877284,0.0476376973092556,-0.0072107152082026
1010,-0.0126945609226822,0.0725726038217544,-0.0261178277432918
1020,-0.001097242347896,0.0576393976807594,-0.0219827592372894
1030,0.0187289267778396,-0.0041704447939991,-0.016482800245285
1040,0.0372329801321029,-0.0675615295767784,-0.0281429030001163
1050,0.0586764886975288,-0.1055968031287193,-0.0639355182647705
1060,0.073418952524662,-0.1056313142180442,-0.0796931087970733
1070,0.0559014715254306,-0.0756076350808143,-0.0632837787270546
1080,0.0162213239818811,-0.0194496065378189,-0.0429967530071735
1090,-0.0203542634844779,0.033131044358015,-0.0393468923866748
1100,-0.0242166463285684,0.0575948432087898,-0.042057454586029
1110,-0.0079841464757919,0.0446364320814609,-0.0388179868459701
1120,0.0138115128502249,-0.0064927767962217,-0.0341048687696456
1130,0.0418561995029449,-0.0801568776369094,-0.0329743549227714
1140,0.0733837261795997,-0.1241715550422668,-0.0389016307890415
1150,0.0911121293902397,-0.1408432275056839,-0.0479784831404686
1160,0.0787373185157775,-0.1084000319242477,-0.0590392388403415
1170,0.0422829091548919,-0.0389961898326873,-0.0511837117373943
1180,-0.0025328719057142,0.0174838416278362,-0.0253488048911094
1190,-0.0358210541307926,0.0571707971394062,-0.0175177808851003
1200,-0.0282754693180322,0.0622088983654975,-0.0156847480684518
1210,-0.0017493185587227,0.0257044173777103,-0.012935834005475
1220,0.0308480076491832,-0.0168139412999153,-0.0200123339891433
1230,0.0472336374223232,-0.0541983321309089,-0.0229519307613372
1240,0.0559830367565155,-0.0788546279072761,-0.0330244004726409
1250,0.048770397901535,-0.0916026458144187,-0.0405411720275878
1260,0.0307911410927772,-0.0898147821426391,-0.0369074419140815
1270,-5.30588440597e-05,-0.0662002637982368,-0.0349276475608348
1280,-0.0330544486641883,-0.0282051414251327,-0.0169395394623279
1290,-0.0569768249988555,0.0135899763554334,0.0068387603387236
1300,-0.0634912773966789,0.0458457097411155,0.0255242586135864
1310,-0.0530524849891662,0.0481791719794273,0.0421319976449012
1320,-0.0173335298895835,0.0240616090595722,0.0393515452742576
1330,0.0345685519278049,-0.015198977664113,0.0265017915517091
1340,0.0813905075192451,-0.0537755340337753,0.0043304273858666
1350,0.104793295264244,-0.0676202476024627,-0.0067350063472986
1360,0.0973393991589546,-0.0630839690566062,-0.0129677690565586
1370,0.0677801743149757,-0.0389283038675785,-0.0022011415567249
1380,0.0425810329616069,-0.0022004155907779,-0.0053655561059713
