time [ms],mag_x [μT],mag_y [μT],mag_z [μT]
0,-1.4213409423828125,19.67807006835937,-41.27765655517578
10,-1.3780441284179688,19.59906005859375,-41.19469451904297
20,-1.5035247802734375,19.547515869140625,-41.24590301513672
30,-1.4997711181640625,19.508377075195312,-41.26549530029297
40,-1.7612228393554688,19.4617919921875,-41.377471923828125
50,-1.9207992553710935,19.322250366210938,-41.21695709228516
60,-1.780487060546875,19.40711975097656,-41.199012756347656
70,-1.50506591796875,19.289306640625,-41.41206359863281
80,-1.4799880981445312,19.637359619140625,-41.908164978027344
90,-1.5646820068359375,19.173629760742188,-41.639892578125
100,-1.5862960815429688,19.055831909179688,-41.16202545166016
110,-1.7859573364257812,19.280242919921875,-41.25689697265625
120,-1.458648681640625,19.178451538085938,-41.28173828125
130,-1.445648193359375,19.05903625488281,-41.336082458496094
140,-1.4490509033203125,19.33946228027344,-41.19142150878906
150,-1.4743118286132812,19.08978271484375,-41.43254089355469
160,-1.6668243408203125,19.27305603027344,-41.56356048583984
170,-1.7252120971679688,19.085739135742188,-41.32389068603516
180,-1.8102874755859373,19.082809448242188,-41.41280364990234
190,-1.82659912109375,19.166061401367188,-41.6142807006836
200,-1.8323822021484373,19.176589965820312,-41.41392517089844
210,-1.7062911987304688,19.08262634277344,-41.35521697998047
220,-1.6264266967773438,19.283737182617188,-41.1497802734375
230,-1.6558914184570312,19.17176818847656,-41.14096832275391
240,-1.7853240966796875,19.15292358398437,-41.21894073486328
250,-1.69427490234375,19.18438720703125,-41.24531555175781
260,-1.7929916381835938,19.08412170410156,-41.40968322753906
270,-1.9353179931640625,18.933578491210938,-41.14970397949219
280,-1.6920089721679688,19.119216918945312,-41.63426208496094
290,-1.86651611328125,19.101882934570312,-41.21153259277344
300,-2.050262451171875,19.190460205078125,-41.066192626953125
310,-1.9507064819335935,18.96104431152344,-41.16234588623047
320,-1.915618896484375,18.971725463867188,-41.85496520996094
330,-1.8010635375976562,18.890853881835938,-41.853912353515625
340,-1.8039093017578125,18.868392944335938,-41.60016632080078
350,-1.6592941284179688,18.878875732421875,-41.468406677246094
360,-1.7528076171875,18.76922607421875,-41.83295440673828
370,-1.9207305908203125,19.184097290039062,-41.4989013671875
380,-1.8258514404296875,18.949295043945312,-41.45735168457031
390,-1.8258514404296875,18.949295043945312,-41.45735168457031
400,-1.7217941284179688,18.893569946289062,-41.53363037109375
410,-1.6156082153320312,18.905303955078125,-41.82266998291016
420,-1.7163772583007812,18.99720764160156,-41.81792449951172
430,-1.7163772583007812,18.99720764160156,-41.81792449951172
440,-1.6802978515625,19.003463745117188,-41.85856628417969
450,-1.7177734375,19.07186889648437,-41.64623260498047
460,-1.7530899047851562,19.075836181640625,-41.66082000732422
470,-1.952232360839844,18.78871154785156,-41.81285858154297
480,-1.7861099243164062,18.94906616210937,-41.53798675537109
490,-1.8192672729492188,18.981414794921875,-41.54875183105469
