time,x,y,latitude,longitude
0.0,0.0,0.0,47.06422,15.45291
8.332999999999924,0.00010999999999999899,-2.5999999999998247e-05,47.06422000098814,15.452909999657118
16.666999999999987,0.00020200000000000773,-8.899999999999186e-05,47.0642200018146,15.452909998826295
24.99999999999991,0.00028800000000001047,-0.00018499999999999073,47.06422000258715,15.452909997560278
33.332999999999835,0.0003760000000000152,-0.00030999999999999084,47.06422000337766,15.452909995911819
41.6669999999999,0.00046900000000002495,-0.00044700000000000295,47.064220004213105,15.452909994105108
49.99999999999982,0.0005340000000000067,-0.0006130000000000024,47.06422000479701,15.452909991915954
58.33300000000019,0.0005860000000000032,-0.000784999999999994,47.064220005264126,15.452909989647674
66.6669999999998,0.0006130000000000024,-0.000900999999999999,47.06422000550667,15.452909988117904
75.00000000000017,0.0006530000000000147,-0.0010430000000000023,47.064220005866,15.452909986245254
83.3330000000001,0.0006470000000000087,-0.0010919999999999958,47.0642200058121,15.452909985599057
91.66700000000016,0.0006530000000000147,-0.0012230000000000019,47.064220005866,15.452909983871473
100.00000000000009,0.0006600000000000217,-0.001341999999999996,47.06422000592888,15.452909982302138
108.333,0.0006659999999999999,-0.001459999999999989,47.064220005982776,15.452909980745995
116.66700000000009,0.0006850000000000189,-0.00166899999999999,47.064220006153455,15.452909977989771
125.0,0.0006480000000000097,-0.0017630000000000007,47.064220005821085,15.452909976750131
133.3329999999999,0.0006379999999999997,-0.001916000000000001,47.06422000573125,15.45290997473242
141.66699999999997,0.0005960000000000132,-0.002029999999999997,47.06422000535396,15.452909973229024
149.99999999999991,0.0005830000000000002,-0.0020769999999999955,47.064220005237175,15.452909972609204
158.33299999999983,0.0005570000000000019,-0.002141999999999998,47.06422000500362,15.452909971752007
166.6669999999999,0.0005370000000000097,-0.0022159999999999958,47.06422000482395,15.45290997077612
174.99999999999983,0.0005120000000000124,-0.0022829999999999934,47.06422000459938,15.452909969892547
183.3330000000002,0.0004890000000000172,-0.0023049999999999946,47.06422000439276,15.452909969602416
191.6669999999998,0.0004970000000000252,-0.0024239999999999956,47.06422000446463,15.452909968033083
200.00000000000017,0.0005080000000000084,-0.0025099999999999983,47.06422000456344,15.452909966898945
208.3330000000001,0.0004890000000000172,-0.002593999999999999,47.06422000439276,15.45290996579118
216.66700000000017,0.0004770000000000052,-0.0026549999999999976,47.06422000428496,15.452909964986732
225.00000000000009,0.0004850000000000132,-0.0027259999999999993,47.064220004356834,15.452909964050408
233.33300000000003,0.0004770000000000052,-0.0028339999999999962,47.06422000428496,15.45290996262614
241.6670000000001,0.00045400000000000995,-0.0028639999999999985,47.06422000407835,15.45290996223051
250.0,0.00046600000000002195,-0.0029839999999999936,47.06422000418615,15.452909960647991
258.3329999999999,0.0005060000000000064,-0.003160999999999997,47.06422000454547,15.452909958313771
266.667,0.0004920000000000202,-0.0032219999999999957,47.0642200044197,15.452909957509323
274.9999999999999,0.0005520000000000247,-0.003381999999999996,47.06422000495869,15.452909955399296
283.33299999999986,0.0005860000000000032,-0.0035389999999999935,47.064220005264126,15.452909953328831
291.6669999999999,0.0006110000000000004,-0.003612999999999998,47.0642200054887,15.452909952352945
299.99999999999983,0.0006620000000000237,-0.0037879999999999928,47.064220005946844,15.452909950045102
308.3330000000002,0.0006960000000000022,-0.0039029999999999967,47.06422000625227,15.452909948528522
316.6669999999998,0.0007199999999999984,-0.004023999999999993,47.06422000646787,15.452909946932815
325.00000000000017,0.0007540000000000047,-0.004139999999999998,47.0642200067733,15.452909945403045
333.3330000000001,0.0008160000000000112,-0.004289999999999995,47.06422000733025,15.452909943424896
341.66700000000014,0.0008570000000000244,-0.004395999999999997,47.06422000769856,15.452909942027004
350.0000000000001,0.0009170000000000011,-0.004539999999999995,47.06422000823755,15.45290994012798
358.333,0.0009740000000000026,-0.004707999999999997,47.06422000874959,15.452909937912452
366.6670000000001,0.0010240000000000249,-0.004872999999999995,47.06422000919874,15.452909935736484
375.0,0.0010840000000000016,-0.004953999999999993,47.06422000973773,15.452909934668282
383.3329999999999,0.0011210000000000109,-0.005122999999999996,47.06422001007011,15.452909932439566
391.667,0.0011470000000000091,-0.005204999999999994,47.064220010303664,15.452909931358176
399.9999999999999,0.0011570000000000191,-0.005258999999999993,47.0642200103935,15.452909930646042
408.3329999999999,0.0011750000000000094,-0.005274999999999995,47.064220010555196,15.45290993043504
416.6669999999999,0.0011730000000000074,-0.005239999999999995,47.064220010537234,15.452909930896608
424.99999999999983,0.0012130000000000196,-0.005273999999999994,47.06422001089656,15.452909930448227
433.3330000000002,0.0012540000000000051,-0.005241999999999997,47.06422001126487,15.452909930870232
441.6669999999998,0.0013020000000000254,-0.0052259999999999945,47.064220011696065,15.452909931081233
450.00000000000017,0.001381000000000021,-0.005215999999999998,47.064220012405734,15.452909931213108
458.3330000000001,0.0015550000000000008,-0.005261999999999996,47.06422001396881,15.452909930606475
466.66700000000014,0.0016390000000000016,-0.0052229999999999985,47.06422001472339,15.452909931120793
475.0000000000001,0.0017900000000000138,-0.005166999999999998,47.064220016079844,15.452909931859303
483.333,0.001927000000000012,-0.005073999999999995,47.06422001731054,15.452909933085756
491.6670000000001,0.002029000000000003,-0.0050079999999999986,47.06422001822682,15.452909933956143
500.0,0.0021079999999999988,-0.004872999999999995,47.06422001893649,15.452909935736477
508.3329999999999,0.0022100000000000175,-0.0047749999999999945,47.06422001985277,15.45290993702887
516.667,0.0022950000000000192,-0.0046629999999999935,47.06422002061634,15.452909938505888
524.9999999999999,0.002359,-0.004469999999999995,47.06422002119126,15.452909941051107
